paper_id,field,source,inventory_id,era_band,draw_idx,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_selected_unit,selection_probability,design_weight,acquisition_route,pdf_url,pdf_path,text_path,pdf_sha256,text_chars
P0384,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,1,202606210102,computational_brain_behavior_2024_v8_i1,2024,Models of Variability in Probabilistic Causal Judgments,10.1007/s42113-024-00223-7,27,4,0.00925925925925926,108,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-024-00223-7.pdf?error=cookies_not_supported&code=d43a91bd-6689-4ba6-813b-abb0a2b58957,corpus/pdfs/cognitive_science_psychology/P0384.pdf,corpus/text/cognitive_science_psychology/P0384.txt,b49df8d06ea16a2cab7d41d4eee8a6003e419421339256db263e74135e19f629,125940
P0385,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,2,202606210102,computational_brain_behavior_2022_v5_i2,2022,When Does an Individual Accept Misinformation? An Extended Investigation Through Cognitive Modeling,10.1007/s42113-022-00136-3,27,1,0.037037037037037,27,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-022-00136-3.pdf?error=cookies_not_supported&code=d52e5c1d-2937-4390-a44f-1e89f810a307,corpus/pdfs/cognitive_science_psychology/P0385.pdf,corpus/text/cognitive_science_psychology/P0385.txt,b675891045ca5cedef3f194190a9982d28c4444523f41576bb802bfb9372b23a,77531
P0386,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,3,202606210102,computational_brain_behavior_2024_v8_i1,2024,A Retrieved Context Model of Serial Recall and Free Recall,10.1007/s42113-024-00221-9,27,4,0.00925925925925926,108,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-024-00221-9.pdf?error=cookies_not_supported&code=165f554f-9938-438c-baba-49416b2473c4,corpus/pdfs/cognitive_science_psychology/P0386.pdf,corpus/text/cognitive_science_psychology/P0386.txt,4704bf7cbb0b7d0a2554b8e3b01dd33559264909e37d9cc0428720495af20176,161921
P0387,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,4,202606210102,computational_brain_behavior_2019_v3_i1,2019,Frequency-Sensitivity and Magnitude-Sensitivity in Decision-Making: Predictions of a Theoretical Model-Based Study,10.1007/s42113-019-00031-4,27,2,0.0185185185185185,54,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-019-00031-4.pdf?error=cookies_not_supported&code=42bb8dfd-bdce-4f32-90b3-93d5e2db7194,corpus/pdfs/cognitive_science_psychology/P0387.pdf,corpus/text/cognitive_science_psychology/P0387.txt,0c3aa22c54b59a428cd94f0b530ab7112388dd27a6c5008cb616cfedba7c3814,79084
P0388,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,5,202606210102,computational_brain_behavior_2022_v5_i4,2022,Disentangling Different Aspects of Between-Item Similarity Unveils Evidence Against the Ensemble Model of Lineup Memory,10.1007/s42113-022-00135-4,27,2,0.0185185185185185,54,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-022-00135-4.pdf?error=cookies_not_supported&code=91ad06d2-209b-4ce4-bccb-39d16a49b2e3,corpus/pdfs/cognitive_science_psychology/P0388.pdf,corpus/text/cognitive_science_psychology/P0388.txt,2cb59c756c49f0f18e746013005756f8c6f9e9500f0f01b67627777cc2a889a9,81835
P0389,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,6,202606210102,computational_brain_behavior_2020_v4_i1,2020,Perceptual Decision-Making in Children: Age-Related Differences and EEG Correlates,10.1007/s42113-020-00087-7,27,1,0.037037037037037,27,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-020-00087-7.pdf?error=cookies_not_supported&code=0937c617-0c65-4f6e-9736-2d1acd656cb1,corpus/pdfs/cognitive_science_psychology/P0389.pdf,corpus/text/cognitive_science_psychology/P0389.txt,69efdff8c11902b04691cdbef87d3e650dc2eea7aba146170bd63b828e895c85,80508
P0390,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,7,202606210102,computational_brain_behavior_2025_v9_i1,2025,Context Size and Set Size Effects: The Relevance of Specific Cues When Searching Long-Term Memory,10.1007/s42113-025-00255-7,27,2,0.0185185185185185,54,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-025-00255-7.pdf?error=cookies_not_supported&code=299c41c5-a36b-42f7-8c13-68fb170e1349,corpus/pdfs/cognitive_science_psychology/P0390.pdf,corpus/text/cognitive_science_psychology/P0390.txt,6fe0862e5f1f4bf38410b256762d98b321dd9433f278b62b665ccf91c5a04028,166055
P0391,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,8,202606210102,computational_brain_behavior_2022_v6_i2,2022,Influences of Reinforcement and Choice Histories on Choice Behavior in Actor-Critic Learning,10.1007/s42113-022-00145-2,27,3,0.0123456790123457,81,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-022-00145-2.pdf?error=cookies_not_supported&code=a632b6e4-606d-462c-80c6-bf6b55f05bbb,corpus/pdfs/cognitive_science_psychology/P0391.pdf,corpus/text/cognitive_science_psychology/P0391.txt,ca788f98a1bbac2a0614c6bbc269f546764dced34a614a44b32683fc554e8dc5,96302
P0392,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,9,202606210102,computational_brain_behavior_2024_v8_i2,2024,Do Human Reinforcement Learning Models Account for Key Experimental Choice Patterns in the Iowa Gambling Task?,10.1007/s42113-024-00228-2,27,1,0.037037037037037,27,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-024-00228-2.pdf?error=cookies_not_supported&code=a4b10819-c609-4e90-bbd0-0d6da8c45a21,corpus/pdfs/cognitive_science_psychology/P0392.pdf,corpus/text/cognitive_science_psychology/P0392.txt,bebd244801a27b604e8e9019f73f94467ac16dff56eec0f8362bf49f3522b965,164036
P0393,Cognitive science / psychology,Computational Brain & Behavior,computational_brain_behavior_openalex_cognitive_psychology_v1.0.0_2018-2025_20260621,2015-present_completed_years_2018-2025,10,202606210102,computational_brain_behavior_2020_v4_i2,2020,Breaking Deadlocks: Reward Probability and Spontaneous Preference Shape Voluntary Decisions and Electrophysiological Signals in Humans,10.1007/s42113-020-00096-6,27,1,0.037037037037037,27,direct_pdf_route,https://link.springer.com/content/pdf/10.1007/s42113-020-00096-6.pdf?error=cookies_not_supported&code=02b47b25-04d5-4938-a2d2-50baa6be7d56,corpus/pdfs/cognitive_science_psychology/P0393.pdf,corpus/text/cognitive_science_psychology/P0393.txt,9061f579918b46e2e8786ca67c7907b31e11019192786f4a9df2e5481246a811,115029
P0394,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,1,202606210103,jmlr_2020_v21_i134,2020,Probabilistic Learning on Graphs via Contextual Architectures,,100,1,0.01,100,direct_pdf_route,https://jmlr.org/papers/volume21/19-470/19-470.pdf,corpus/pdfs/ml_ai_methods/P0394.pdf,corpus/text/ml_ai_methods/P0394.txt,79a71580c9daf90528eece222d1852980b4d532bd159a0b93608b03fc467ef47,97493
P0395,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,2,202606210103,jmlr_2018_v18_i193,2018,Making Better Use of the Crowd: How Crowdsourcing Can Advance Machine Learning Research,,100,1,0.01,100,direct_pdf_route,https://jmlr.org/papers/volume18/17-234/17-234.pdf,corpus/pdfs/ml_ai_methods/P0395.pdf,corpus/text/ml_ai_methods/P0395.txt,357e1c039acaf2fd35f5cfadc4ba0f52b56d1c97cee660a400850551bf105583,137492
P0396,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,3,202606210103,jmlr_2021_v22_i41,2021,From Fourier to Koopman: Spectral Methods for Long-term Time Series Prediction,,100,1,0.01,100,direct_pdf_route,https://jmlr.org/papers/volume22/20-406/20-406.pdf,corpus/pdfs/ml_ai_methods/P0396.pdf,corpus/text/ml_ai_methods/P0396.txt,3127f1f0fae76635fe7bcd5ae0e565551716c1c016efd36f89518c95856c6eba,87642
P0397,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,4,202606210103,jmlr_2017_v18_i1,2017,Explaining the success of adaboost and random forests as interpolating classifiers,10.5555/3122009.3153004,100,13,0.000769230769230769,1300,direct_pdf_route,https://jmlr.org/papers/volume18/15-240/15-240.pdf,corpus/pdfs/ml_ai_methods/P0397.pdf,corpus/text/ml_ai_methods/P0397.txt,5ecaa78efd96ec6df49bf6e091e35ceb07db197dc950eb003a133730fe69ba30,85866
P0398,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,5,202606210103,jmlr_2020_v21_i53,2020,High-Dimensional Inference for Cluster-Based Graphical Models,,100,1,0.01,100,direct_pdf_route,https://jmlr.org/papers/volume21/18-357/18-357.pdf,corpus/pdfs/ml_ai_methods/P0398.pdf,corpus/text/ml_ai_methods/P0398.txt,9db11856cbd0564812c4d3202bb7d580d6055c879380c5db40493cb0c2ba4506,127616
P0399,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,6,202606210103,jmlr_2019_v20_i109,2019,Learning Unfaithful $K$-separable Gaussian Graphical Models,,100,1,0.01,100,direct_pdf_route,https://jmlr.org/papers/volume20/18-329/18-329.pdf,corpus/pdfs/ml_ai_methods/P0399.pdf,corpus/text/ml_ai_methods/P0399.txt,de0fbb530781f66b3d1d0d75df2e2b7207128c0c11bbfa71dca86dd2fa9a1310,71229
P0400,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,7,202606210103,jmlr_2020_v21_i198,2020,Reinforcement Learning in Continuous Time and Space: A Stochastic Control Approach,,100,1,0.01,100,direct_pdf_route,https://jmlr.org/papers/volume21/19-144/19-144.pdf,corpus/pdfs/ml_ai_methods/P0400.pdf,corpus/text/ml_ai_methods/P0400.txt,e80a47460a39733e0330763c703ea961c22f3486244f4a4130b626089b33996e,81169
P0401,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,8,202606210103,jmlr_2020_v21_i78,2020,Harmless Overfitting: Using Denoising Autoencoders in Estimation of Distribution Algorithms,,100,1,0.01,100,direct_pdf_route,https://jmlr.org/papers/volume21/16-543/16-543.pdf,corpus/pdfs/ml_ai_methods/P0401.pdf,corpus/text/ml_ai_methods/P0401.txt,776ae73667501dd31beaac22ac9e6eded6b32327a3a657c004e7ace97d3e55ef,90883
P0402,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,9,202606210103,jmlr_2018_v18_i168,2018,Local Identifiability of $\ell_1$-minimization Dictionary Learning: a Sufficient and Almost Necessary Condition,,100,1,0.01,100,direct_pdf_route,https://jmlr.org/papers/volume18/16-119/16-119.pdf,corpus/pdfs/ml_ai_methods/P0402.pdf,corpus/text/ml_ai_methods/P0402.txt,9faeee96bd9c9c73adeb186779a4dd544a389d57a5d3af45d81f5f679c7ba57f,102514
P0403,ML / AI methods proper,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,10,202606210103,jmlr_2021_v22_i171,2021,Optimal Rates of Distributed Regression with Imperfect Kernels,,100,1,0.01,100,direct_pdf_route,https://jmlr.org/papers/volume22/20-627/20-627.pdf,corpus/pdfs/ml_ai_methods/P0403.pdf,corpus/text/ml_ai_methods/P0403.txt,e4dd31f35b119329d2662ae5756a2400867162b15438fca5cbe0d1f341f87422,68125
P0404,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,1,202606210104,iclr_2018,2018,"Fast and Accurate Text Classification: Skimming, Rereading and Early Stopping",,6,84,0.00198412698412698,504,direct_pdf_route,https://openreview.net/pdf?id=ryZ8sz-Ab,corpus/pdfs/ml_ai_methods/P0404.pdf,corpus/text/ml_ai_methods/P0404.txt,329471ff99bd5ac5a2293197bca862619ec0419a5548a7726837f05eaaaa582e,36912
P0405,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,2,202606210104,iclr_2017,2017,DeepCloak: Masking Deep Neural Network Models for Robustness Against Adversarial Samples,,6,46,0.0036231884057971,276,direct_pdf_route,https://openreview.net/pdf?id=r1X_kR4Yl,corpus/pdfs/ml_ai_methods/P0405.pdf,corpus/text/ml_ai_methods/P0405.txt,1356ecfd27b6dadb82a0106004dcec64dff295005177e1d84cf63cd1f07a6982,18155
P0406,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,3,202606210104,iclr_2016,2016,Stochastic Neural Networks for Hierarchical Reinforcement Learning,,6,6,0.0277777777777778,36,direct_pdf_route,https://openreview.net/pdf?id=B1oK8aoxe,corpus/pdfs/ml_ai_methods/P0406.pdf,corpus/text/ml_ai_methods/P0406.txt,56b800e230dba9d38db42ee2fd2e803b8061b5c12cd6e0b13a8992a82816efc4,58384
P0407,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,4,202606210104,iclr_2019,2019,ATLPA:ADVERSARIAL TOLERANT LOGIT PAIRING WITH ATTENTION FOR CONVOLUTIONAL NEURAL NETWORK,,6,22,0.00757575757575758,132,direct_pdf_route,https://openreview.net/pdf?id=HJx0Yn4FPB,corpus/pdfs/ml_ai_methods/P0407.pdf,corpus/text/ml_ai_methods/P0407.txt,838d25886428f0b90bc2a63b78965c0d4f73d35d8fc638d330c52ac093555a4a,35129
P0408,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,5,202606210104,iclr_2018,2018,Dimensionality Reduction for Representing the Knowledge of Probabilistic Models,,6,84,0.00198412698412698,504,direct_pdf_route,https://openreview.net/pdf?id=SygD-hCcF7,corpus/pdfs/ml_ai_methods/P0408.pdf,corpus/text/ml_ai_methods/P0408.txt,605352978474656c9cc7934f4885942da9e653c418e0da6e08cd7e5cacc68302,95427
P0409,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,6,202606210104,iclr_2018,2018,Automatically Inferring Data Quality for Spatiotemporal Forecasting,,6,84,0.00198412698412698,504,direct_pdf_route,https://openreview.net/pdf?id=ByJIWUnpW,corpus/pdfs/ml_ai_methods/P0409.pdf,corpus/text/ml_ai_methods/P0409.txt,a327a451d7a2e3cec3e2a7d7f48b57564c27847148e3a38105f5e7a438cf7094,39797
P0410,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,7,202606210104,iclr_2021,2021,Protecting DNNs from Theft using an Ensemble of Diverse Models,,6,89,0.00187265917602996,534,direct_pdf_route,https://openreview.net/pdf?id=LucJxySuJcE,corpus/pdfs/ml_ai_methods/P0410.pdf,corpus/text/ml_ai_methods/P0410.txt,bcc34aa63b6deae097a97421d79a051b438da1b1e02c9bf7201d94b64a4fdcd2,50640
P0411,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,8,202606210104,iclr_2016,2016,Neural Program Lattices,,6,6,0.0277777777777778,36,direct_pdf_route,https://openreview.net/pdf?id=HJjiFK5gx,corpus/pdfs/ml_ai_methods/P0411.pdf,corpus/text/ml_ai_methods/P0411.txt,976751ca660e0e7de1f8e1011d623ad5ed8dda579ad9605def9edcc94bf002e3,56989
P0412,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,9,202606210104,iclr_2017,2017,CommAI: Evaluating the first steps towards a useful general AI,,6,46,0.0036231884057971,276,direct_pdf_route,https://openreview.net/pdf?id=Syh_o0pPx,corpus/pdfs/ml_ai_methods/P0412.pdf,corpus/text/ml_ai_methods/P0412.txt,a3f39b53eda8ac106ff433fab0e6db95305f0f44d828242c05b83ca91e4573cc,24956
P0413,ML / AI methods proper,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,10,202606210104,iclr_2020,2020,Deep Orientation Uncertainty Learning based on a Bingham Loss,,6,113,0.00147492625368732,678,direct_pdf_route,https://openreview.net/pdf?id=ryloogSKDS,corpus/pdfs/ml_ai_methods/P0413.pdf,corpus/text/ml_ai_methods/P0413.txt,ad1ad0c934b40b1b34c949b12633b426ede2611c74f1284e7eb62d74501d4118,42563
P0414,Mechanistic molecular / cell / developmental biology,PLOS Biology,plos_biology_openalex_cell_biology_v1.0.0_2005-2014_20260621,2005-2014_completed_years_2005-2014,1,202606210105,plos_biology_2014_v12_i8,2014,Crossover Localisation Is Regulated by the Neddylation Posttranslational Regulatory Pathway,10.1371/journal.pbio.1001930,123,7,0.00116144018583043,861,direct_pdf_route,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1001930&type=printable,corpus/pdfs/molecular_cell_biology/P0414.pdf,corpus/text/molecular_cell_biology/P0414.txt,193c4d13d2504f555a1657a0c087e3956a841df32f89adc3c1a73837db5b3231,103970
P0415,Mechanistic molecular / cell / developmental biology,PLOS Biology,plos_biology_openalex_cell_biology_v1.0.0_2005-2014_20260621,2005-2014_completed_years_2005-2014,2,202606210105,plos_biology_2012_v10_i9,2012,Bax Activation Initiates the Assembly of a Multimeric Catalyst that Facilitates Bax Pore Formation in Mitochondrial Outer Membranes,10.1371/journal.pbio.1001394,123,3,0.002710027100271,369,direct_pdf_route,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1001394&type=printable,corpus/pdfs/molecular_cell_biology/P0415.pdf,corpus/text/molecular_cell_biology/P0415.txt,03b7b7eab7d0a2ffb181aef457ecbd64611473457199849fc07e15fbb6ec0f1f,107427
P0416,Mechanistic molecular / cell / developmental biology,PLOS Biology,plos_biology_openalex_cell_biology_v1.0.0_2005-2014_20260621,2005-2014_completed_years_2005-2014,3,202606210105,plos_biology_2006_v4_i4,2006,IAN Family Critically Regulates Survival and Development of T Lymphocytes,10.1371/journal.pbio.0040103,123,3,0.002710027100271,369,direct_pdf_route,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.0040103&type=printable,corpus/pdfs/molecular_cell_biology/P0416.pdf,corpus/text/molecular_cell_biology/P0416.txt,96f2d3a246078becb17b6f346f182f630b3e2e6cf7c37f0d538720f4639d22cd,63089
