paper_id,field,source,inventory_id,draw_idx,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_unit,selection_probability,design_weight,pdf_url,pdf_path,text_path,pdf_sha256,text_chars
P0039,"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,3,202606200403,jcap_2024_v2024_i05,2024,From inflation to dark matter halo profiles: the impact of primordial non-Gaussianities on the central density cusp,10.1088/1475-7516/2024/05/021,132,82,9.23872875092e-05,10824,https://hal.science/hal-04455552/document,corpus/pdfs/statistical_physics/P0039.pdf,corpus/text/statistical_physics/P0039.txt,a13dcdc24a2794c6ae78fae579451292a3a9e26bddb8503392689b221835b071,55755
P0040,"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,4,202606200404,jcap_2021_v2021_i03,2021,Velocity-dependent interacting dark energy and dark matter with a Lagrangian description of perfect fluids,10.1088/1475-7516/2021/03/085,132,66,0.000114784205693,8712,https://arxiv.org/pdf/2012.12204,corpus/pdfs/statistical_physics/P0040.pdf,corpus/text/statistical_physics/P0040.txt,851effd2c73e620822c3a008d8037ba4b882189d713cf108f7cb62e78116910a,77603
P0041,Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,1,202606200501,elife_2022_v11,2022,Rabphilin 3A binds the N-peptide of SNAP-25 to promote SNARE complex assembly in exocytosis,10.7554/elife.79926,31,1370,2.35460324935e-05,42470,https://elifesciences.org/articles/79926.pdf,corpus/pdfs/molecular_cell_biology/P0041.pdf,corpus/text/molecular_cell_biology/P0041.txt,7ae65f6459194e24246826227432e02cfa487f56c47eaa0119d63de9666186e2,99576
P0042,Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,QC replacement,202606209201,elife_2021_v10,2021,The orchestrated cellular and molecular responses of the kidney to endotoxin define a precise sepsis timeline,10.7554/elife.62270,28,1208,2.95648060549e-05,33824,https://elifesciences.org/articles/62270.pdf,corpus/pdfs/molecular_cell_biology/P0042.pdf,corpus/text/molecular_cell_biology/P0042.txt,db28f4fb4f86c29a1b9e28ae91f93552db2211b64914505f486914ce9b6f0d86,76948
P0043,Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,3,202606200503,elife_2023_v12_i5,2023,Amphibian mast cells serve as barriers to chytrid fungus infections,10.7554/elife.92168,31,1,0.0322580645161,31,https://elifesciences.org/articles/92168.pdf,corpus/pdfs/molecular_cell_biology/P0043.pdf,corpus/text/molecular_cell_biology/P0043.txt,eb8ca18a94e79d837340be4401a2b9829990a45a55bf87101212c5fa4736bbab,86853
P0044,Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,QC replacement,202606209202,elife_2016_v5,2016,Hepatocyte Growth Factor-mediated satellite cells niche perturbation promotes development of distinct sarcoma subtypes,10.7554/elife.12116,28,694,5.14615067929e-05,19432,https://elifesciences.org/articles/12116.pdf,corpus/pdfs/molecular_cell_biology/P0044.pdf,corpus/text/molecular_cell_biology/P0044.txt,62757e121fc7686d25a13279170fb60a1daade0743f00d1f904652c0d291835d,91815
P0045,Structure-driven condensed matter / chemistry,Physical Review X,physical_review_x_openalex_v1.0.1_through2025_20260620,1,202606200601,physical_review_x_2016_v6_i2,2016,A Practical Phase Gate for Producing Bell Violations in Majorana Wires,10.1103/physrevx.6.021005,43,38,0.000611995104039,1634,https://arxiv.org/pdf/1510.00007,corpus/pdfs/condensed_matter_physics/P0045.pdf,corpus/text/condensed_matter_physics/P0045.txt,554d27fc954dd438d7c50ae7b9118754d89a08a1f0826b3c2d992521ffd9b5a5,48197
P0046,Structure-driven condensed matter / chemistry,Physical Review X,physical_review_x_openalex_v1.0.1_through2025_20260620,2,202606200602,physical_review_x_2021_v11_i4,2021,Visualizing Energy Landscapes through Manifold Learning,10.1103/physrevx.11.041026,43,41,0.000567214974475,1763,https://arxiv.org/pdf/2111.07843,corpus/pdfs/condensed_matter_physics/P0046.pdf,corpus/text/condensed_matter_physics/P0046.txt,ece7769c975f73eb6b947df316392768b7babe58d9f768759cf2bdee4e93e70f,100873
P0047,Structure-driven condensed matter / chemistry,Physical Review X,physical_review_x_openalex_v1.0.1_through2025_20260620,3,202606200603,physical_review_x_2018_v8_i3,2018,Landau Effective Interaction between Quasiparticles in a Bose-Einstein Condensate,10.1103/physrevx.8.031042,43,76,0.00030599755202,3268,https://pure.au.dk/ws/files/131904130/PhysRevX.8.031042.pdf,corpus/pdfs/condensed_matter_physics/P0047.pdf,corpus/text/condensed_matter_physics/P0047.txt,e067b7ca8d5be82ba39c3f1fed4065aee0942ae10f631713608fd90ed8d477ce,56368
P0048,Structure-driven condensed matter / chemistry,Physical Review X,physical_review_x_openalex_v1.0.1_through2025_20260620,QC replacement,202606209301,physical_review_x_2021_v11_i3,2021,"Observation of Unconventional Charge Density Wave without Acoustic Phonon Anomaly in Kagome Superconductors AV3Sb5 (A=Rb, Cs)",10.1103/physrevx.11.031050,43,32,0.000726744186047,1376,https://arxiv.org/pdf/2103.09769,corpus/pdfs/condensed_matter_physics/P0048.pdf,corpus/text/condensed_matter_physics/P0048.txt,4fecdb4910933fb608f3e0fb9789f5d0c1a56b55846a18ba9cfd220ee701e18f,33775
P0049,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,1,202606200701,frontiers_computational_neuroscience_2016_v10,2016,Kilohertz Frequency Deep Brain Stimulation Is Ineffective at Regularizing the Firing of Model Thalamic Neurons,10.3389/fncom.2016.00022,23,126,0.000345065562457,2898,https://www.frontiersin.org/articles/10.3389/fncom.2016.00022/pdf,corpus/pdfs/computational_neuroscience/P0049.pdf,corpus/text/computational_neuroscience/P0049.txt,ed1c0b196e3877ba2bf114fbc6ed3a3d799306d1a862a568419aee54ed1dc03e,56578
P0050,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,2,202606200702,frontiers_computational_neuroscience_2023_v17,2023,Predicting the distribution of serotonergic axons: a supercomputing simulation of reflected fractional Brownian motion in a 3D-mouse brain model,10.3389/fncom.2023.1189853,23,94,0.000462534690102,2162,https://www.frontiersin.org/articles/10.3389/fncom.2023.1189853/pdf,corpus/pdfs/computational_neuroscience/P0050.pdf,corpus/text/computational_neuroscience/P0050.txt,c4d7d8dc4697db3909209e173124b5686c68d13bbd420fa32932cfc151786163,78302
P0051,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,3,202606200703,frontiers_computational_neuroscience_2021_v15_i29,2021,Human Texture Vision as Multi-Order Spectral Analysis,10.3389/fncom.2021.692334,23,1,0.0434782608696,23,https://www.frontiersin.org/articles/10.3389/fncom.2021.692334/pdf,corpus/pdfs/computational_neuroscience/P0051.pdf,corpus/text/computational_neuroscience/P0051.txt,49234ae5d801761a958e59617f0d8f9fc33523fb4c1cc47e5d25e357af3f4a18,42346
P0052,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,4,202606200704,frontiers_computational_neuroscience_2024_v17,2024,Neuro-environmental interactions: a time sensitive matter,10.3389/fncom.2023.1302010,22,9,0.00505050505051,198,https://www.frontiersin.org/articles/10.3389/fncom.2023.1302010/pdf?isPublishedV2=False,corpus/pdfs/computational_neuroscience/P0052.pdf,corpus/text/computational_neuroscience/P0052.txt,aaa440e63d2b95f45b8caee91c6b46186d646c2abdd875bb087d2f797d71cd16,51767
P0053,Cognitive science / psychology,Collabra Psychology,collabra_psychology_openalex_v1.0.1_through2025_20260620,1,202606200801,collabra_psychology_2024_v10_i1,2024,May I Help You? The Relationship Between Interpersonal Emotion Regulation and Emotional and Relational Wellbeing in Daily Life,10.1525/collabra.90797,8,53,0.00235849056604,424,https://pure.amsterdamumc.nl/ws/files/139000048/May-i-help-you-the-relationship-between-interpersonal-emotion-regulation-and-emotional-and-relational-wellbeing-in-dail.pdf,corpus/pdfs/cognitive_science_psychology/P0053.pdf,corpus/text/cognitive_science_psychology/P0053.txt,197aa28b05e84afc1e95717f705177f03e22be020a1aa387116c417692d522ad,102180
P0054,Cognitive science / psychology,Collabra Psychology,collabra_psychology_openalex_v1.0.1_through2025_20260620,2,202606200802,collabra_psychology_2020_v6_i1,2020,Is Healthy Neuroticism Associated with Longevity? A Coordinated Integrative Data Analysis,10.1525/collabra.268,8,42,0.00297619047619,336,https://www.pure.ed.ac.uk/ws/files/161641594/268_4710_1_PB.pdf,corpus/pdfs/cognitive_science_psychology/P0054.pdf,corpus/text/cognitive_science_psychology/P0054.txt,9ca504762f3cfb13fc1269cc60b0875e286a8abe6673441df8ec2363bc395f24,95129
P0055,Cognitive science / psychology,Collabra Psychology,collabra_psychology_openalex_v1.0.1_through2025_20260620,3,202606200803,collabra_psychology_2023_v9_i1,2023,The Moderating Role of Neuroticism on Evaluative Conditioning: New Insights on the Processes Underlying This Relationship,10.1525/collabra.74820,7,74,0.0019305019305,518,https://boa.unimib.it/bitstream/10281/444286/2/10281-444286_VoR.pdf,corpus/pdfs/cognitive_science_psychology/P0055.pdf,corpus/text/cognitive_science_psychology/P0055.txt,684cd835ea9e0d3b2b63089a387e2bc582bb38d7878f582e8018a55b18fad2b9,66212
P0056,Cognitive science / psychology,Collabra Psychology,collabra_psychology_openalex_v1.0.1_through2025_20260620,4,202606200804,collabra_psychology_2021_v7_i1,2021,False Positives Using Social Cognitive Mapping to Identify Children’s Peer Groups,10.1525/collabra.17969,7,3,0.047619047619,21,https://arxiv.org/pdf/1911.05703,corpus/pdfs/cognitive_science_psychology/P0056.pdf,corpus/text/cognitive_science_psychology/P0056.txt,f18737cf65077bb9a840b471ce2cf10246ceb91808d81c5f0a25b8d95b2290b1,53303
