action_type,priority,field,era_band,venue_tier,source,inventory_status,current_n,target_n,gap,frame_capacity,oa_route,oa_route_verified,acquisition_route,fixes_tier_coverage,planned_action,design_change_rationale,exception_note,status_20260622,status_20260624
tier_fix,P1,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2005-2014,mid,Physical Review D,must_build,0,10,10,verify@inventory,green/arXiv,pending,direct->browser->arXiv,YES,Build inventory; draw 10,"Structure physics is specialist-only (97, EPJ C); add mid tier. SCOAP3 predates 2014 only partially, so 2005-2014 leans on arXiv hep-ex/hep-ph green.",,COMPLETED: P0569-P0578 (10) via round_20260621_p1_prd_structurephys_mid_2005_2014,
tier_fix,P1,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2005-2014,top,Physical Review Letters,must_build,0,10,10,verify@inventory,green/arXiv,pending,direct->browser->arXiv,YES (top; completes 3-tier span),Build inventory; draw 10 from OA-accessible subset,Deep specialist field; add TOP tier (per direction) so the field spans specialist+mid+top.,arXiv hep-ex/hep-ph/gr-qc green route reliable across both eras.,COMPLETED: P0559-P0568 (10) via round_20260621_p1_prl_structurephys_top_2005_2014,
tier_fix,P1,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2015-present,mid,Physics Letters B,must_build,0,10,10,verify@inventory,gold/SCOAP3,pending,direct->browser->OA,YES,Build inventory; draw 10,Modern era; gold via SCOAP3.,,COMPLETED: P0579-P0588 (10) via round_20260621_p1_plb_structurephys_mid_2015_present,
tier_fix,P1,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2015-present,top,Physical Review Letters,must_build,0,10,10,verify@inventory,green/arXiv,pending,direct->browser->arXiv,YES (top; completes 3-tier span),Build inventory; draw 10 from OA-accessible subset,Deep specialist field; add TOP tier (per direction) so the field spans specialist+mid+top.,,COMPLETED: P0549-P0558 (10) via round_20260621_p1_prl_structurephys_top_2015_present,
recovery,P2,Clinical medicine / epidemiology / evidence-based medicine,2015-present,top,New England Journal of Medicine (NEJM),blocked_frame,0,10,10,verify@browser,hybrid,pending,publisher-page browser recovery,no (clinical already spans tiers),Browser-recovery pass to build a completed 2015-2025 frame; draw 10,Already scheduled; scripted access was blocked.,"If browser recovery also fails, mark acquisition_limited (documented exception).",pending,"COMPLETED: P0711-P0720 (10) via round_20260623_p2_nejm; OA-via-PMC frame (hybrid; OA subset NIH-funded/COVID-skewed, documented); research-only after full-text vetting"
recovery,P2,Clinical medicine / epidemiology / evidence-based medicine,2015-present,top,The Lancet,blocked_frame,0,10,10,verify@browser,hybrid,pending,publisher-page browser recovery,no (clinical already spans tiers),Browser-recovery pass to build a completed 2015-2025 frame; draw 10,Already scheduled; scripted access was blocked.,"If browser recovery also fails, mark acquisition_limited (documented exception).",pending,"COMPLETED: P0721-P0730 (10) via round_20260623_p2_lancet; OA-via-PMC frame (hybrid, documented skew); research-only after full-text vetting (Elsevier-banner false negatives corrected)"
recovery,P2,Clinical medicine / epidemiology / evidence-based medicine,2015-present,top,JAMA,blocked_frame,0,10,10,verify@browser,hybrid,pending,publisher-page browser recovery,no (clinical already spans tiers),Browser-recovery pass to build a completed 2015-2025 frame; draw 10,Already scheduled; scripted access was blocked.,"If browser recovery also fails, mark acquisition_limited (documented exception).",pending,"ACQUISITION_LIMITED: P0709-P0710 (2 of 10) via round_20260623_p2_jama; PMC ~90% XML-only, PMC-PDF subset mis-linked corrections, publisher PDF HTML-gated (Silverchair); documented exception §1.4.1"
recovery,P2,Clinical medicine / epidemiology / evidence-based medicine,2015-present,top,The BMJ,blocked_frame,0,10,10,verify@browser,hybrid,pending,publisher-page browser recovery,no (clinical already spans tiers),Browser-recovery pass to build a completed 2015-2025 frame; draw 10,Already scheduled; scripted access was blocked.,"If browser recovery also fails, mark acquisition_limited (documented exception).",pending,COMPLETED: P0699-P0708 (10) via round_20260623_p2_bmj; bmj.com publisher OA PDF; research-only after full-text vetting (BMJ OA ~half non-research)
recovery,P2,Cognitive science / psychology,2015-present,specialist,Collabra Psychology,exists,5,10,5,from inventory,gold,yes,publisher-page browser recovery,no,Browser-recovery pass; draw remaining 5 to reach 10,Direct route limited at n=5.,,pending,COMPLETED: P0659-P0663 (+5 -> cell n=10) via round_20260623_p2_collabra; re-frozen frame (current UCPress/Silverchair OA URLs)
recovery,P2,Mechanistic molecular / cell / developmental biology,2005-2014,top,eLife,rebuild,0,10,10,verify@inventory,gold,pending,direct->browser,restores mech-bio top 2005-2014,Rebuild clean inventory slice; draw 10,Prior slice excluded as contaminated.,eLife began 2012; 2005-2011 not coverable by eLife — use 2012-2014 window or a substitute top venue for the early part.,pending,COMPLETED: P0669-P0678 (10) via round_20260623_p2_elife; REBUILT contaminated slice - era keyed on volume(1-3)=2012-2014 correcting OpenAlex publication_year mis-dating; issue normalized
recovery,P2,Structure-driven condensed matter / chemistry,2015-present,specialist,npj Computational Materials,exists,5,10,5,from inventory,gold,yes,direct->browser,no,Finish to 10,Partially completed at n=5.,,pending,COMPLETED: P0664-P0668 (+5 -> cell n=10) via round_20260623_p2_npj; Nature gold-OA direct PDF
early_era,P3,Clinical medicine / epidemiology / evidence-based medicine,1996-2004,mid,The BMJ (open archive),must_build,0,10,10,verify@browser,archive/PMC,pending,browser->PMC,no,Probe BMJ open archive / PMC for an OA-accessible early-clinical frame; draw 10 if viable,Early clinical-evidence anchor.,"Early clinical OA is thin; if no verified frame, mark accessibility_limited (documented exception).",pending,COMPLETED: P0781-P0790 (10) via round_20260624_p3_bmj_clinical_mid_1996_2004; bmj.com OA; clinical full-text research-vetted (see eligibility_refinement)
early_era,P3,Cognitive science / psychology,1990-2004,mid,Cognition,must_build,0,10,10,verify@inventory,archive,pending,direct->browser->OA,YES (also mid),Build inventory; draw 10 from OA subset,Early cog-sci anchor; pre-replication-crisis baseline.,,pending,"ACCESSIBILITY_LIMITED (documented, not finalized): OA subset 85/843, only ~21 direct-PDF of which ~20 ScienceDirect-walled (P1 wall); 1/85 PMCID. Frozen inventory retained; cog-sci early anchor remains a gap."
early_era,P3,Computational biology / genomics-ML,1999-2004,mid,Genome Research,must_build,0,10,10,verify@inventory,green/PMC,pending,PMC,YES (also mid),Build inventory; draw 10,Pre-2005 comp-bio baseline (ingestion_plan gap #3); PMC green route.,,pending,COMPLETED: P0731-P0740 (10) via round_20260624_p3_genome_research_compbio_mid_1999_2004; ROUTE CORRECTED PMC->CSHL publisher-bronze (0 PMCIDs pre-2005)
early_era,P3,Computational neuroscience,1990-2004,specialist,Neural Computation,must_build,0,10,10,verify@inventory,hybrid/archive,pending,direct->browser->OA,no,Build inventory; draw 10 from OA subset,Early comp-neuro time-series anchor; Neural Computation runs from 1989.,,pending,"ACCESSIBILITY_LIMITED (documented, not finalized): OA subset 110/1344, only 6 with PDF+archival-unit, scattered ~19 repos; comp-neuro early anchor remains a gap."
early_era,P3,ML / AI methods proper,1990-2004,top,NeurIPS proceedings,extend_existing,0,10,10,verify@inventory,gold,pending,open proceedings,no,Extend NeurIPS inventory back to 1990-2004 (open since 1987); draw 10,Cleanest early-era win; ML proceedings fully open historically.,,pending,DEFERRED (user decision): bespoke neurips_proceedings_index parser not in repo; conference papers lack volume/issue unit for build_cell.py. Pending follow-up.
early_era,P3,Mechanistic molecular / cell / developmental biology,1990-2004,mid,Journal of Cell Biology,must_build,0,10,10,verify@inventory,green/PMC,pending,PMC,no,Build inventory; draw 10,Recent-vs-early mech bio era confound; JCB open via PMC back to 1960s.,,pending,COMPLETED: P0741-P0750 (10) via round_20260624_p3_jcb_mechbio_mid_1990_2004; rupress.org OA (navigate-to-PDF token mint)
early_era,P3,"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",1990-2004,top,Astronomy and Astrophysics,extend_existing,0,10,10,verify@inventory,archive,pending,archive,no,Extend A&A inventory to 1990-2004; draw 10,Early precision-cosmology anchor.,,pending,COMPLETED: P0761-P0770 (10) via round_20260624_p3_aa_statsphys_top_1990_2004; Cosmology-concept subset; EFFECTIVE ERA 2001-2004 (no cosmology OA pre-2001)
early_era,P3,Structure-driven condensed matter / chemistry,1992-2004,mid,Physical Review B,must_build,0,10,10,verify@inventory,green/arXiv,pending,arXiv cond-mat,YES (also mid),Build inventory (arXiv cond-mat from 1992); draw 10,Early condensed-matter anchor; PRX did not exist pre-2011.,,pending,COMPLETED: P0751-P0760 (10) via round_20260624_p3_prb_condmat_mid_1992_2004; arXiv cond-mat green
early_era,P3,"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",pre-1990,specialist,(PRD / PRL pre-1990 archive),probe,0,10,10,verify@browser,archive,pending,APS archive probe,no,Probe APS archive for a verified pre-1990 OA frame,Only structure physics could plausibly reach pre-1990.,"arXiv begins 1992 and SCOAP3 is recent; pre-1990 OA likely unavailable -> expected accessibility_limited exception, not a forced target.",pending,"COMPLETED: P0771-P0780 (10) via round_20260624_p3_prl_structurephys_specialist_pre1990; PRL particle-physics bronze APS free-to-read. VIABLE vs expected-limited; ~22%% full-text yield (rest first-page previews), pool extended to 40; OA subset NOT landmark-biased."
second_source,P4,Mechanistic molecular / cell / developmental biology,2015-present,mid,EMBO Journal (2nd mid),must_build,0,10,10,verify@inventory,hybrid/green,pending,direct->browser->PMC,no (field already spans tiers),Optional 2nd mid source so equal-source weighting has >1 source in the mid group,"PLOS Biology is the only mid source; representativeness target, not hard.",,pending,COMPLETED: P0811-P0820 (10) via round_20260624_p4_embo_mechbio_mid_2015_present; link.springer.com (all EMBO incl. ex-Wiley 2017-2023 migrated to Springer after 2024 move; OpenAlex Wiley URLs stale). 97%% OA.
second_source,P4,"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",2015-present,specialist,Physical Review D (2nd specialist),must_build,0,10,10,verify@inventory,green/arXiv,pending,arXiv astro-ph.CO,no,Optional 2nd specialist source besides JCAP,"Representativeness target, not hard.",,pending,COMPLETED: P0791-P0800 (10) via round_20260624_p4_prd_statsphys_specialist_2015_present; Cosmology-concept arXiv green; both modern PRD source ids merged.
second_source,P4,Structure-driven condensed matter / chemistry,2015-present,top,Nature Materials (2nd top),must_build,0,10,10,verify@inventory,hybrid/archive,pending,direct->browser->OA,no,Optional 2nd top source besides PRX,"Representativeness target, not hard.",,pending,"COMPLETED: P0801-P0810 (10) via round_20260624_p4_natmat_condmat_top_2015_present; arXiv green subset (255/2609, ~10%%) - hybrid OA-subset skews to arXiv-posting/physics-leaning materials (documented)."
