field,era_band,venue_tier,source_block_order,source,source_inventory_id,status,random_base_papers_in_block,paper_ids,design_note
Computational biology / genomics-ML,2015-present_completed_years_2015-2025,specialist,1,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,extended_next100_completed,60,P0017;P0025;P0026;P0027;P0028;P0058;P0059;P0060;P0061;P0062;P0189;P0190;P0191;P0192;P0193;P0194;P0195;P0196;P0197;P0198;P0199;P0200;P0201;P0202;P0203;P0274;P0275;P0276;P0277;P0278;P0279;P0280;P0281;P0282;P0283;P0284;P0285;P0286;P0287;P0288;P0289;P0290;P0291;P0292;P0293;P0294;P0295;P0296;P0297;P0298;P0299;P0300;P0301;P0302;P0303;P0304;P0305;P0306;P0307;P0308,Initial source block accepted under revised source-blocked Stratum A protocol; source was not randomly drawn per paper. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_next_100; added 15 papers in the next-100 expansion; direct-route failures require publisher-page browser fallback before final source-limit status. Updated by round_20260620_random_base_next_100_round2; added 35 papers in the next-100 expansion; direct-route failures require publisher-page browser fallback before final source-limit status.
Computational neuroscience,2005-2014_completed_years_2007-2014,specialist,1,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,extended_next100_completed,39,P0131;P0132;P0133;P0134;P0135;P0136;P0137;P0138;P0139;P0140;P0141;P0142;P0143;P0144;P0164;P0165;P0166;P0167;P0168;P0169;P0170;P0171;P0172;P0173;P0204;P0205;P0206;P0207;P0208;P0209;P0210;P0211;P0212;P0213;P0214;P0215;P0216;P0217;P0218,Historical source block opened for 100-paper random-base expansion; source coverage begins in 2007. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_next_100; added 15 papers in the next-100 expansion; direct-route failures require publisher-page browser fallback before final source-limit status.
Computational neuroscience,2015-present_completed_years_2015-2025,specialist,1,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,extended_next100_completed,55,P0023;P0049;P0050;P0051;P0052;P0063;P0064;P0065;P0066;P0067;P0219;P0220;P0221;P0222;P0223;P0224;P0225;P0226;P0227;P0228;P0229;P0230;P0231;P0232;P0233;P0309;P0310;P0311;P0312;P0313;P0314;P0315;P0316;P0317;P0318;P0319;P0320;P0321;P0322;P0323;P0324;P0325;P0326;P0327;P0328;P0329;P0330;P0331;P0332;P0333;P0334;P0335;P0336;P0337;P0338,Initial source block accepted under revised source-blocked Stratum A protocol; source was not randomly drawn per paper. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_next_100; added 15 papers in the next-100 expansion; direct-route failures require publisher-page browser fallback before final source-limit status. Updated by round_20260620_random_base_next_100_round2; added 30 papers in the next-100 expansion; direct-route failures require publisher-page browser fallback before final source-limit status.
ML / AI methods proper,2015-present_completed_years_2015-2025,top,1,NeurIPS,neurips_proceedings_v1.0.1_2015-2025_20260620,extended_next100_completed,25,P0018;P0029;P0030;P0031;P0032;P0068;P0069;P0070;P0071;P0072;P0234;P0235;P0236;P0237;P0238;P0239;P0240;P0241;P0242;P0243;P0244;P0245;P0246;P0247;P0248,Initial source block accepted under revised source-blocked Stratum A protocol; source was not randomly drawn per paper. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_next_100; added 15 papers in the next-100 expansion; direct-route failures require publisher-page browser fallback before final source-limit status.
ML / AI methods proper,2015-present_completed_years_2015-2025,top,2,Journal of Machine Learning Research,jmlr_openalex_machine_learning_v1.0.0_2015-2025_20260621,completed_target_10,10,P0394;P0395;P0396;P0397;P0398;P0399;P0400;P0401;P0402;P0403,Underrepresented field; new open archival journal source block with neutral Machine learning concept filter. Updated by round_20260621_balanced_repair_100; added 10 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
ML / AI methods proper,2015-present_completed_years_2015-2025,top,3,International Conference on Learning Representations,iclr_openalex_machine_learning_v1.0.0_2015-2025_20260621,completed_target_10,10,P0404;P0405;P0406;P0407;P0408;P0409;P0410;P0411;P0412;P0413,Underrepresented field; new open proceedings source block with neutral Machine learning concept filter. Updated by round_20260621_balanced_repair_100; added 10 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
Mechanistic molecular / cell / developmental biology,2005-2014_completed_years_2005-2014,mid,2,PLOS Biology,plos_biology_openalex_cell_biology_v1.0.0_2005-2014_20260621,completed_target_10,10,P0414;P0415;P0416;P0417;P0418;P0419;P0420;P0421;P0422;P0423,Underrepresented field and era; new born-OA mid/top biology source block with neutral Cell biology concept filter. Updated by round_20260621_balanced_repair_100; added 10 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
Mechanistic molecular / cell / developmental biology,2005-2014_completed_years_2012-2014,top,1,eLife,elife_openalex_v1.0.1_through2025_20260620,excluded_contaminated_inventory_slice,0,,Historical source block opened for 100-paper random-base expansion; source coverage begins in 2012. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Excluded from round_20260620_random_base_100_new after acquisition revealed non-eLife/non-biology contamination in this older inventory slice.
Mechanistic molecular / cell / developmental biology,2015-present_completed_years_2015-2025,mid,2,PLOS Biology,plos_biology_openalex_cell_biology_v1.0.0_2015-2025_20260621,completed_target_10,10,P0424;P0425;P0426;P0427;P0428;P0429;P0430;P0431;P0432;P0433,Underrepresented field; new born-OA mid/top biology source block with neutral Cell biology concept filter. Updated by round_20260621_balanced_repair_100; added 10 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
Mechanistic molecular / cell / developmental biology,2015-present_completed_years_2015-2025,top,1,eLife,elife_openalex_v1.0.1_through2025_20260620,completed_target_10,10,P0021;P0041;P0042;P0043;P0044;P0073;P0074;P0075;P0076;P0077,Initial source block accepted under revised source-blocked Stratum A protocol; source was not randomly drawn per paper. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route.
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",2005-2014_completed_years_2005-2014,specialist,1,Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,completed_target_10,10,P0434;P0435;P0436;P0437;P0438;P0439;P0440;P0441;P0442;P0443,Historical source block opened for 100-paper random-base expansion. Skipped for this expansion because the historical JCAP frame is IOP-only and scripted IOP routes returned Radware HTML rather than PDF bytes; publisher-page browser recovery remains required before final source-limit status. Updated by round_20260621_balanced_repair_100; added 10 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",2015-present_completed_years_2015-2025,specialist,1,Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,completed_target_10,10,P0020;P0037;P0038;P0039;P0040;P0078;P0079;P0080;P0081;P0082,Initial source block accepted under revised source-blocked Stratum A protocol; source was not randomly drawn per paper. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route.
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",2015-present_completed_years_2015-2025,top,2,Astronomy and Astrophysics,astronomy_astrophysics_openalex_cosmology_v1.0.0_2015-2025_20260621,completed_target_10,10,P0444;P0445;P0446;P0447;P0448;P0449;P0450;P0451;P0452;P0453,Underrepresented field; new top astronomy/cosmology source block with neutral Cosmology concept filter. Updated by round_20260621_balanced_repair_100; added 10 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
Structure-driven condensed matter / chemistry,2005-2014_completed_years_2011-2014,top,1,Physical Review X,physical_review_x_openalex_v1.0.1_through2025_20260620,completed_target_10,10,P0454;P0455;P0456;P0457;P0458;P0459;P0460;P0461;P0462;P0463,Historical source block opened for 100-paper random-base expansion; source coverage begins in 2011. Skipped for this expansion because the historical PRX frame is APS-only and scripted APS PDF routes returned 403 in this environment; publisher-page browser recovery remains required before final source-limit status. Already scheduled underfilled historical source block; use publisher-page attempt then arXiv OA alternates when APS blocks direct PDF. Updated by round_20260621_balanced_repair_100; added 10 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
Structure-driven condensed matter / chemistry,2015-present_completed_years_2015-2025,specialist,2,npj Computational Materials,npj_computational_materials_openalex_condensed_matter_v1.0.0_2015-2025_20260621,partially_completed,5,P0469;P0470;P0471;P0472;P0473,Underrepresented field; partially open a gold computational-materials source block to keep the exact 100-paper batch size after Chemical Science low-text failure. Updated by round_20260621_balanced_repair_100; added 5 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
Structure-driven condensed matter / chemistry,2015-present_completed_years_2015-2025,top,1,Physical Review X,physical_review_x_openalex_v1.0.1_through2025_20260620,completed_target_10,10,P0022;P0045;P0046;P0047;P0048;P0464;P0465;P0466;P0467;P0468,Initial source block accepted under revised source-blocked Stratum A protocol; source was not randomly drawn per paper. Not extended in this expansion because additional scripted PRX APS PDF routes returned 403 in this environment; publisher-page browser recovery remains required before final source-limit status. Updated by round_20260621_balanced_repair_100; added 5 papers; overfilled lanes frozen; direct failures used publisher-page fallback before documented OA alternates.
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",1990-2004_completed_years_1990-2004,specialist,1,The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,completed_target_10,12,P0145;P0146;P0147;P0148;P0149;P0150;P0151;P0152;P0153;P0154;P0155;P0156,Older historical replacement source block opened because Collabra Psychology was acquisition-limited; partial target of 5 keeps the 100-new-paper expansion exact. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route.
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2005-2014_completed_years_2005-2014,specialist,1,The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,completed_target_10,15,P0102;P0103;P0104;P0105;P0106;P0107;P0108;P0109;P0110;P0111;P0112;P0113;P0114;P0115;P0116,Historical Phase-1 source block opened for 100-paper random-base expansion. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route.
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2015-present_completed_years_2015-2025,specialist,1,The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,extended_next100_completed,70,P0019;P0033;P0034;P0035;P0036;P0057;P0083;P0084;P0085;P0086;P0249;P0250;P0251;P0252;P0253;P0254;P0255;P0256;P0257;P0258;P0259;P0260;P0261;P0262;P0263;P0264;P0265;P0266;P0267;P0268;P0269;P0270;P0271;P0272;P0273;P0339;P0340;P0341;P0342;P0343;P0344;P0345;P0346;P0347;P0348;P0349;P0350;P0351;P0352;P0353;P0354;P0355;P0356;P0357;P0358;P0359;P0360;P0361;P0362;P0363;P0364;P0365;P0366;P0367;P0368;P0369;P0370;P0371;P0372;P0373,Initial source block accepted under revised source-blocked Stratum A protocol; source was not randomly drawn per paper. Updated by round_20260620_random_base_one_p0057; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_100_new; active acquisition frame required a direct PDF route. Updated by round_20260620_random_base_next_100; added 25 papers in the next-100 expansion; direct-route failures require publisher-page browser fallback before final source-limit status. Updated by round_20260620_random_base_next_100_round2; added 35 papers in the next-100 expansion; direct-route failures require publisher-page browser fallback before final source-limit status.
Computational biology / genomics-ML,2005-2014,mid,1,Genome Biology,genome_biology_openalex_v1.0.0_2005-2014_20260621,completed_target_10,10,P0519;P0520;P0521;P0522;P0523;P0524;P0525;P0526;P0527;P0528,Preflight; added by round_20260621_p1_genome_biology_compbio_mid_2005_2014; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 1 candidate(s) rejected at eligibility (non-research section / dup / access).
Computational biology / genomics-ML,2015-present,mid,2,Genome Biology,genome_biology_openalex_v1.0.0_2015-2025_20260621,completed_target_10,10,P0529;P0530;P0531;P0532;P0533;P0534;P0535;P0536;P0537;P0538,Preflight; added by round_20260621_p1_genome_biology_compbio_mid_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 5 candidate(s) rejected at eligibility (non-research section / dup / access).
Computational biology / genomics-ML,2005-2014,top,1,Nature Methods,nature_methods_openalex_oa_v1.0.0_2005-2014_20260621,completed_target_10,10,P0539;P0540;P0541;P0542;P0543;P0544;P0545;P0546;P0547;P0548,Preflight; added by round_20260621_p1_nature_methods_compbio_top_2005_2014; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2015-present,top,1,Physical Review Letters,physical_review_letters_openalex_hep_v1.0.0_2015-2025_20260621,completed_target_10,10,P0549;P0550;P0551;P0552;P0553;P0554;P0555;P0556;P0557;P0558,Preflight; added by round_20260621_p1_prl_structurephys_top_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2005-2014,top,2,Physical Review Letters,physical_review_letters_openalex_hep_v1.0.0_2005-2014_20260621,completed_target_10,10,P0559;P0560;P0561;P0562;P0563;P0564;P0565;P0566;P0567;P0568,Preflight; added by round_20260621_p1_prl_structurephys_top_2005_2014; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2005-2014,mid,1,Physical Review D,physical_review_d_openalex_hep_v1.0.0_2005-2014_20260621,completed_target_10,10,P0569;P0570;P0571;P0572;P0573;P0574;P0575;P0576;P0577;P0578,Preflight; added by round_20260621_p1_prd_structurephys_mid_2005_2014; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",2015-present,mid,2,Physics Letters B,physics_letters_b_openalex_hep_v1.0.0_2015-2025_20260621,completed_target_10,10,P0579;P0580;P0581;P0582;P0583;P0584;P0585;P0586;P0587;P0588,Preflight; added by round_20260621_p1_plb_structurephys_mid_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
ML / AI methods proper,2015-present_completed_2022-2025,mid,1,Transactions on Machine Learning Research (TMLR),tmlr_openreview_v1.0.0_2022-2025_20260621,completed_target_10,10,P0589;P0590;P0591;P0592;P0593;P0594;P0595;P0596;P0597;P0598,Preflight; added by round_20260621_p1_tmlr_ml_mid_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
Computational neuroscience,2005-2014,mid,1,Journal of Neuroscience,journal_of_neuroscience_openalex_compneuro_v1.0.0_2005-2014_20260621,completed_target_10,10,P0599;P0600;P0601;P0602;P0603;P0604;P0605;P0606;P0607;P0608,Preflight; added by round_20260621_p1_jneuro_compneuro_mid_2005_2014; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
Computational neuroscience,2015-present,mid,2,Journal of Neuroscience,journal_of_neuroscience_openalex_compneuro_v1.0.0_2015-2025_20260621,completed_target_10,10,P0609;P0610;P0611;P0612;P0613;P0614;P0615;P0616;P0617;P0618,Preflight; added by round_20260621_p1_jneuro_compneuro_mid_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
Computational neuroscience,2005-2014,top,1,Nature Neuroscience,nature_neuroscience_openalex_compneuro_oa_v1.0.0_2005-2014_20260621,completed_target_10,10,P0619;P0620;P0621;P0622;P0623;P0624;P0625;P0626;P0627;P0628,Preflight; added by round_20260621_p1_nn_compneuro_top_2005_2014; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 7 candidate(s) rejected at eligibility (non-research section / dup / access).
Computational neuroscience,2015-present,top,2,Nature Neuroscience,nature_neuroscience_openalex_compneuro_oa_v1.0.0_2015-2025_20260621,completed_target_10,10,P0629;P0630;P0631;P0632;P0633;P0634;P0635;P0636;P0637;P0638,Preflight; added by round_20260621_p1_nn_compneuro_top_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
Computational biology / genomics-ML,2015-present,top,2,Nature Methods,nature_methods_openalex_oa_v1.0.0_2015-2025_20260621,completed_target_10,10,P0639;P0640;P0641;P0642;P0643;P0644;P0645;P0646;P0647;P0648,Preflight; added by round_20260621_p1_nature_methods_compbio_top_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 1 candidate(s) rejected at eligibility (non-research section / dup / access).
Cognitive science / psychology,2015-present,mid,1,Cognition,cognition_openalex_pmcsubset_v1.0.0_2015-2025_20260621,acquisition_limited_browser_blocked,0,,Preflight P1 cog-sci mid; frozen inventory built; ScienceDirect Cloudflare-blocked + PMC tokenized-redirect stubs + arXiv too thin. Documented exception per round_20260621_p1_cognition_cogsci_mid_2015_present; no papers acquired.
Cognitive science / psychology,2015-present,mid,1,Cognitive Research: Principles and Implications,cognitive_research_pi_openalex_v1.0.0_2015-2025_20260622,completed_target_10,10,P0649;P0650;P0651;P0652;P0653;P0654;P0655;P0656;P0657;P0658,Preflight; added by round_20260622_p1_crpi_cogsci_mid_2015_present_SUBSTITUTE; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 2 candidate(s) rejected at eligibility (non-research section / dup / access).
Cognitive science / psychology,2015-present,specialist,,Collabra Psychology,collabra_psychology_openalex_p2_v1.0.0_2015-2025_20260623,completed_target_5,5,P0659;P0660;P0661;P0662;P0663,Preflight; added by round_20260623_p2_collabra_cogsci_specialist_2015_present; 5 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 1 candidate(s) rejected at eligibility (non-research section / dup / access).
Structure-driven condensed matter / chemistry,2015-present,specialist,,npj Computational Materials,npj_computational_materials_openalex_p2_v1.0.0_2015-2025_20260623,completed_target_5,5,P0664;P0665;P0666;P0667;P0668,Preflight; added by round_20260623_p2_npj_compmat_condmat_specialist_2015_present; 5 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 3 candidate(s) rejected at eligibility (non-research section / dup / access).
Mechanistic molecular / cell / developmental biology,2005-2014,top,,eLife,elife_openalex_p2_vol1to3_v1.0.0_2012-2014_20260623,completed_target_10,10,P0669;P0670;P0671;P0672;P0673;P0674;P0675;P0676;P0677;P0678,Preflight; added by round_20260623_p2_elife_molbio_top_2005_2014; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
Clinical medicine / epidemiology / evidence-based medicine,2015-present,top,,The BMJ,bmj_openalex_oa_pub_v1.0.0_2015-2025_20260623,completed_target_10,10,P0699;P0700;P0701;P0702;P0703;P0704;P0705;P0706;P0707;P0708,Preflight; added by round_20260623_p2_bmj_clinical_top_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
Clinical medicine / epidemiology / evidence-based medicine,2015-present,top,,JAMA,jama_openalex_pmc_v1.0.0_2015-2025_20260623,completed_target_2,2,P0709;P0710,Preflight; added by round_20260623_p2_jama_clinical_top_2015_present; 2 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
Clinical medicine / epidemiology / evidence-based medicine,2015-present,top,,New England Journal of Medicine,nejm_openalex_pmc_v1.0.0_2015-2025_20260623,completed_target_10,10,P0711;P0712;P0713;P0714;P0715;P0716;P0717;P0718;P0719;P0720,Preflight; added by round_20260623_p2_nejm_clinical_top_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
Clinical medicine / epidemiology / evidence-based medicine,2015-present,top,,The Lancet,lancet_openalex_pmc_v1.0.0_2015-2025_20260623,completed_target_10,10,P0721;P0722;P0723;P0724;P0725;P0726;P0727;P0728;P0729;P0730,Preflight; added by round_20260623_p2_lancet_clinical_top_2015_present; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
Computational biology / genomics-ML,1999-2004,mid,,Genome Research,genome_research_openalex_v1.0.0_1999-2004_20260624,completed_target_10,10,P0731;P0732;P0733;P0734;P0735;P0736;P0737;P0738;P0739;P0740,Preflight; added by round_20260624_p3_genome_research_compbio_mid_1999_2004; 10 random_base papers; OpenAlex frozen frame; direct publisher PDF via browser route (§1.4.1); 0 candidate(s) rejected at eligibility (non-research section / dup / access).
