aggregate_id,paper_id,instrument,dimension,aggregation_set_id,rubric_version,n_ratings,n_distinct_judges,n_human_judges,n_ai_judges,n_ai_models,n_ai_replicates,mean,median,sd,min,max,aggregation_policy,adjudicated_value,adjudication_status,notes
agg_calibration_v03:C03:paradigm_marker:si_terminal_certification,C03,paradigm_marker,si_terminal_certification,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:cp_assumption_vulnerability,C04,paradigm_marker,cp_assumption_vulnerability,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:cp_counterfactual_intervention,C04,paradigm_marker,cp_counterfactual_intervention,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:cp_exclusion_rate,C04,paradigm_marker,cp_exclusion_rate,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:cp_generative_structure,C04,paradigm_marker,cp_generative_structure,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,2,2,,2,2,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:cp_marker_mean,C04,paradigm_marker,cp_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,2.333,2.333,,2.333,2.333,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:cp_risky_prediction,C04,paradigm_marker,cp_risky_prediction,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,3,3,,3,3,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:cp_rival_elimination,C04,paradigm_marker,cp_rival_elimination,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,2,2,,2,2,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:si_accumulation_progress,C04,paradigm_marker,si_accumulation_progress,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:si_association_framing,C04,paradigm_marker,si_association_framing,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:si_marker_mean,C04,paradigm_marker,si_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1.333,1.333,,1.333,1.333,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C04:paradigm_marker:si_terminal_certification,C04,paradigm_marker,si_terminal_certification,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,3,3,,3,3,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C05:paradigm_marker:cp_assumption_vulnerability,C05,paradigm_marker,cp_assumption_vulnerability,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C05:paradigm_marker:cp_counterfactual_intervention,C05,paradigm_marker,cp_counterfactual_intervention,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C05:paradigm_marker:cp_generative_structure,C05,paradigm_marker,cp_generative_structure,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C05:paradigm_marker:cp_risky_prediction,C05,paradigm_marker,cp_risky_prediction,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C05:paradigm_marker:cp_rival_elimination,C05,paradigm_marker,cp_rival_elimination,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C05:paradigm_marker:si_accumulation_progress,C05,paradigm_marker,si_accumulation_progress,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C05:paradigm_marker:si_association_framing,C05,paradigm_marker,si_association_framing,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C05:paradigm_marker:si_marker_mean,C05,paradigm_marker,si_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1.333,1.333,,1.333,1.333,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C05:paradigm_marker:si_terminal_certification,C05,paradigm_marker,si_terminal_certification,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C06:paradigm_marker:cp_assumption_vulnerability,C06,paradigm_marker,cp_assumption_vulnerability,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C06:paradigm_marker:cp_counterfactual_intervention,C06,paradigm_marker,cp_counterfactual_intervention,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C06:paradigm_marker:cp_generative_structure,C06,paradigm_marker,cp_generative_structure,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C06:paradigm_marker:cp_risky_prediction,C06,paradigm_marker,cp_risky_prediction,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C06:paradigm_marker:cp_rival_elimination,C06,paradigm_marker,cp_rival_elimination,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C06:paradigm_marker:si_accumulation_progress,C06,paradigm_marker,si_accumulation_progress,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,2,2,,2,2,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C06:paradigm_marker:si_association_framing,C06,paradigm_marker,si_association_framing,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C06:paradigm_marker:si_marker_mean,C06,paradigm_marker,si_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0.667,0.667,,0.667,0.667,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C06:paradigm_marker:si_terminal_certification,C06,paradigm_marker,si_terminal_certification,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:cp_assumption_vulnerability,C07,paradigm_marker,cp_assumption_vulnerability,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:cp_counterfactual_intervention,C07,paradigm_marker,cp_counterfactual_intervention,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:cp_exclusion_rate,C07,paradigm_marker,cp_exclusion_rate,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:cp_generative_structure,C07,paradigm_marker,cp_generative_structure,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:cp_marker_mean,C07,paradigm_marker,cp_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:cp_risky_prediction,C07,paradigm_marker,cp_risky_prediction,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:cp_rival_elimination,C07,paradigm_marker,cp_rival_elimination,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:si_accumulation_progress,C07,paradigm_marker,si_accumulation_progress,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:si_association_framing,C07,paradigm_marker,si_association_framing,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,3,3,,3,3,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:si_marker_mean,C07,paradigm_marker,si_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1.333,1.333,,1.333,1.333,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C07:paradigm_marker:si_terminal_certification,C07,paradigm_marker,si_terminal_certification,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:cp_assumption_vulnerability,C08,paradigm_marker,cp_assumption_vulnerability,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:cp_counterfactual_intervention,C08,paradigm_marker,cp_counterfactual_intervention,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:cp_exclusion_rate,C08,paradigm_marker,cp_exclusion_rate,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:cp_generative_structure,C08,paradigm_marker,cp_generative_structure,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:cp_marker_mean,C08,paradigm_marker,cp_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1,1,,1,1,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:cp_risky_prediction,C08,paradigm_marker,cp_risky_prediction,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:cp_rival_elimination,C08,paradigm_marker,cp_rival_elimination,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:si_accumulation_progress,C08,paradigm_marker,si_accumulation_progress,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:si_association_framing,C08,paradigm_marker,si_association_framing,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:si_marker_mean,C08,paradigm_marker,si_marker_mean,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,1.333,1.333,,1.333,1.333,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C08:paradigm_marker:si_terminal_certification,C08,paradigm_marker,si_terminal_certification,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C09:paradigm_marker:cp_assumption_vulnerability,C09,paradigm_marker,cp_assumption_vulnerability,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C09:paradigm_marker:cp_counterfactual_intervention,C09,paradigm_marker,cp_counterfactual_intervention,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,4,4,,4,4,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C09:paradigm_marker:cp_exclusion_rate,C09,paradigm_marker,cp_exclusion_rate,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,0,0,,0,0,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
agg_calibration_v03:C09:paradigm_marker:cp_generative_structure,C09,paradigm_marker,cp_generative_structure,agg_calibration_v03,v0.3-pilot,1,1,0,1,1,1,3,3,,3,3,within_model_mean_then_unit_mean,,not_adjudicated,"Diagnostic gate, not evidence. Calibration must pass before agg_v03_hybrid_model_balanced is run."
