field,source,inventory_id,unit_id,title,doi,pdf_url,error
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2024_04_batch,Circadian regulation of endoplasmic reticulum calcium response in mouse cultured astrocytes,10.7554/elife.96357.1,https://elifesciences.org/articles/1.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2020_v9,Lola regulates Drosophila adult midgut homeostasis via non-canonical hippo signaling,10.7554/elife.47542,https://elifesciences.org/articles/47542.bib,ValueError('download did not return PDF bytes')
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2023_07_batch,Acute stress reduces effortful prosocial behaviour,10.7554/elife.87271.1,https://elifesciences.org/articles/1.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2023_03_batch,Surface curvature and basal hydraulic stress induce spatial bias in cell extrusion,10.7554/elife.84921,https://elifesciences.org/articles/84921.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2025_06_batch,Old age variably impacts chimpanzee engagement and efficiency in stone tool use,10.7554/elife.105411.2,https://elifesciences.org/articles/2.pdf,<HTTPError 404: 'Not Found'>
Mechanistic molecular / cell / developmental biology,eLife,elife_openalex_v1.0.1_through2025_20260620,elife_2024_06_batch,Polarised Moonlight Guides Nocturnal Bull Ants Home,10.7554/elife.97615.1,https://elifesciences.org/articles/1.pdf,<HTTPError 404: 'Not Found'>
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2023_v2023_i11,Cosmology with a supersymmetric local B - L model,10.1088/1475-7516/2023/11/016,https://digital.csic.es/bitstream/10261/363527/1/Jeong_Cosmology.pdf,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)'))"
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2023_v2023_i10,Searches for connections between dark matter and high-energy neutrinos with IceCube,10.1088/1475-7516/2023/10/003,https://biblio.ugent.be/publication/01J08F94F440DDG5C269P8RY08/file/01J08F9ZV4HK8TPY53SRS6JQNF.pdf,TimeoutError('The read operation timed out')
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2022_v2022_i11,Constraining CMB physical processes using Planck 2018 data,10.1088/1475-7516/2022/11/043,https://digital.csic.es/bitstream/10261/305017/1/constradata.pdf,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)'))"
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2025_v2025_i06,Zooming into the horizon region of black hole-type objects,10.1088/1475-7516/2025/06/019,https://repository.ubn.ru.nl//bitstream/handle/2066/320449/320449.pdf,<HTTPError 403: 'Forbidden'>
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2023_v2023_i03,Non-unitary three-neutrino mixing in the early Universe,10.1088/1475-7516/2023/03/046,https://digital.csic.es/bitstream/10261/363513/1/Gariazzo_Non-Unitary.pdf,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)'))"
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2025_v2025_i01,Impact of systematic redshift errors on the cross-correlation of the Lyman-α forest with quasars at small scales using DESI Early Data,10.1088/1475-7516/2025/01/130,https://escholarship.org/content/qt4dc7x4tz/qt4dc7x4tz.pdf,<HTTPError 403: 'Forbidden'>
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2025_v2025_i02,Neural Networks for cosmological model selection and feature importance using Cosmic Microwave Background data,10.1088/1475-7516/2025/02/004,https://digital.csic.es/bitstream/10261/429096/1/2410.05209v2.pdf,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)'))"
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2023_v2023_i08,DEMNUni: the imprint of massive neutrinos on the cross-correlation between cosmic voids and CMB lensing,10.1088/1475-7516/2023/08/010,https://orca.cardiff.ac.uk/id/eprint/165894/1/Post-print%20%285%29.pdf,<HTTPError 403: 'Forbidden'>
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2023_v2023_i06,A comparison of template vs. direct model fitting for redshift-space distortions in BOSS,10.1088/1475-7516/2023/06/005,https://escholarship.org/content/qt7mj6c1w9/qt7mj6c1w9.pdf,<HTTPError 403: 'Forbidden'>
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2023_v2023_i05,Simulations of PBH formation at the QCD epoch and comparison with the GWTC-3 catalog,10.1088/1475-7516/2023/05/004,https://dipot.ulb.ac.be/dspace/bitstream/2013/359472/3/2209.06196.pdf,<HTTPError 500: '500'>
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2023_v2023_i04,Impact of QCD uncertainties on antiproton spectra from dark-matter annihilation,10.1088/1475-7516/2023/04/068,https://repository.ubn.ru.nl/bitstream/handle/2066/293143/1/293143.pdf,<HTTPError 403: 'Forbidden'>
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2024_v2024_i05,Particle content of very inclined air showers for radio signal modeling,10.1088/1475-7516/2024/05/055,https://biblio.vub.ac.be/vubirfiles/139715768/Guelfand_2024_J._Cosmol._Astropart._Phys._2024_055.pdf,<HTTPError 503: 'Service Unavailable'>
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2025_v2025_i08,Electric field reconstruction with three polarizations for the radio detection of ultra-high energy particles,10.1088/1475-7516/2025/08/027,https://biblio.vub.ac.be/vubirfiles/139644128/2501.12614v3.pdf,<HTTPError 503: 'Service Unavailable'>
"Statistically-oriented physics (precision cosmology, exclusion-limit searches, ML-for-physics)",Journal of Cosmology and Astroparticle Physics,jcap_openalex_v1.0.1_through2025_20260620,jcap_2024_v2024_i05,Axionic defects in the CMB: birefringence and gravitational waves,10.1088/1475-7516/2024/05/066,https://ddd.uab.cat/pub/artpub/2024/312467/BirefringenceDWs.pdf,"URLError(ConnectionResetError(54, 'Connection reset by peer'))"
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v34_i2,Isolated photon plus jet photoproduction as a toolto constrain the gluon distribution in the proton and the photon,10.1140/epjc/s2004-01646-3,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01646-3.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v39_i2,Casimir effect for gauge fields in spaces with negative constant curvature,10.1140/epjc/s2004-02080-3,https://link.springer.com/content/pdf/10.1140/epjc/s2004-02080-3.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1999_v8_i1,Obituary,10.1007/s100520050440,https://link.springer.com/content/pdf/10.1007/s100520050440.pdf,ValueError('extracted text too short (391 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1994_v61_i1,Exact solution of the neutralino mass matrix,10.1007/bf01641900,https://link.springer.com/content/pdf/10.1007/BF01641900.pdf,ValueError('extracted text too short (594 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2003_v30_i4,Manifestly covariant analysis of the QED Compton processin $ep\rightarrow e \gamma p$ and $e p \rightarrow e \gamma X $,10.1140/epjc/s2003-01308-0,https://link.springer.com/content/pdf/10.1140/epjc/s2003-01308-0.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2003_v29_i2,Double-spin asymmetries in the cross section of $\rho^0$ and $\phi$ production at intermediate energies,10.1140/epjc/s2003-01232-3,https://link.springer.com/content/pdf/10.1140/epjc/s2003-01232-3.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1994_v62_i3,Study of hard scattering processes in multihadron production from ?? collisions at LEP,10.1007/bf01555895,https://orbi.umons.ac.be/bitstream/20.500.12907/30761/1/delphi_9.pdf,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1010)'))"
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2003_v30_i2,New physics effects in the rare $B_s \rightarrow \gamma \ell^+\ell^-$ decays with a polarized photon,10.1140/epjc/s2003-01290-5,https://link.springer.com/content/pdf/10.1140/epjc/s2003-01290-5.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1993_v60_i2,Colour confinement in hadron-nucleus collisions,10.1007/bf01474638,http://cds.cern.ch/record/254573/files/CM-P00057525.pdf,ValueError('extracted text too short (158 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v37_i4,The phase of the $\sigma \to \pi \pi$ amplitude in $J/\Psi \to \omega \pi^ + \pi^-$,10.1140/epjc/s2004-02031-0,https://link.springer.com/content/pdf/10.1140/epjc/s2004-02031-0.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v34_i2,The electroweak form factor $\hat{\kappa}(q^2)$ and the running of $\sin^2\hat{\theta}_{\mathrm {W}}$,10.1140/epjc/s2004-01604-1,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01604-1.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v37_i2,Studying the Bell-Steinberger relation,10.1140/epjc/s2004-01992-0,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01992-0.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v37_i2,Measurement of dijet production at low Q 2 at HERA,10.1140/epjc/s2004-01989-7,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01989-7.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1992_v54_i2,π 0 andη meson production inπ + p andK + p collisions at 250 GeV/c,10.1007/bf01566653,http://cds.cern.ch/record/233673/files/CM-P00063080.pdf,ValueError('extracted text too short (424 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v33_i4,The pion nucleon coupling constant,10.1140/epjc/s2004-01666-y,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01666-y.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v32_i2,CP violation in the 3 jet and 4 jet decays of the Z boson at GigaZ,10.1140/epjc/s2003-01369-y,https://link.springer.com/content/pdf/10.1140/epjc/s2003-01369-y.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1992_v55_i1,Phenomenology of the particle spectra in QCD jets in a modified leading logarithmic approximation,10.1007/bf01558295,https://link.springer.com/content/pdf/10.1007/BF01558295.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v34_i2,Search for SUSY in the AMSB scenario with the DELPHI detector,10.1140/epjc/s2004-01715-7,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01715-7.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1990_v47_i4,Transport equations and QCD collective modes in a self-consistent covariant background gauge,10.1007/bf01552332,http://cds.cern.ch/record/202125/files/198912121.pdf,ValueError('extracted text too short (329 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1991_v49_i1,A measurement of two-jet decays of theW andZ bosons at the CERN $$\bar p$$ p collider,10.1007/bf01570793,http://cds.cern.ch/record/210698/files/cer-000122691.pdf,ValueError('extracted text too short (652 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v34_i1,"The discovery of the W &amp; Z, a personal recollection",10.1140/epjc/s2004-01764-x,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01764-x.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1992_v56_is1,A pulsed lepton source at LAMPF,10.1007/bf02426806,https://digital.library.unt.edu/ark:/67531/metadc1084988/m2/1/high_res_d/5639724.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v33_i3,"Exclusive $B \to (K^*, \rho) \gamma$ decays in general two-Higgs-doublet models",10.1140/epjc/s2004-01592-0,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01592-0.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1994_v62_i4,Measurement of cross sections and leptonic forward-backward asymmetries at theZ pole and determination of electroweak parameters,10.1007/bf01574160,https://link.springer.com/content/pdf/10.1007/BF01574160.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2003_v27_i3,Invariance quantum group of the fermionic oscillator,10.1140/epjc/s2002-01097-x,https://link.springer.com/content/pdf/10.1140/epjc/s2002-01097-x.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1993_v59_i2,Search for contact interactions in the reactionse + e −→l + l − ande + e −→γγ,10.1007/bf01566686,http://cds.cern.ch/record/248135/files/cer-000164343.pdf,ValueError('extracted text too short (595 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2002_v25_i4,Fermion families and chirality through extra dimensions,10.1140/epjc/s2002-01037-x,https://link.springer.com/content/pdf/10.1140/epjc/s2002-01037-x.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v35_i3,Uncertainties of predictions from parton distributions II: theoretical errors,10.1140/epjc/s2004-01825-2,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01825-2.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1991_v51_i4,Thepp- $$p\bar p$$ difference and the behaviour of phases at high energies,10.1007/bf01565599,https://link.springer.com/content/pdf/10.1007/BF01565599.pdf,ValueError('extracted text too short (475 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1993_v58_i1,Experimental evidence for the box anomaly inη/η′ decays and the electric charge of quarks,10.1007/bf01554078,http://cds.cern.ch/record/239772/files/cer-000155249.pdf,ValueError('extracted text too short (956 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v36_i4,Forward $\pi^\circ$ production and associated transverse energy flow in deep-inelastic scattering at HERA,10.1140/epjc/s2004-01983-1,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01983-1.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v37_i1,The measurement of $\alpha_s$ from event shapes with the DELPHI detector at the highest LEP energies,10.1140/epjc/s2004-01889-x,https://link.springer.com/content/pdf/10.1140/epjc/s2004-01889-x.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2003_v32_i3,General expressions for VM dominated form factors of hadrons fulfilling asymptotic conditions,10.1140/epjc/s2003-01445-4,https://link.springer.com/content/pdf/10.1140/epjc/s2003-01445-4.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1992_v54_i1,Causal structure of the thermal propagator in real-time formalisms,10.1007/bf01881721,https://link.springer.com/content/pdf/10.1007/BF01881721.pdf,ValueError('extracted text too short (868 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1998_v1_i3,"SO(2,C) invariant discrete gauge states in liouville gravity coupled to minimal conformal matter",10.1007/s100520050120,https://link.springer.com/content/pdf/10.1007/s100520050120.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_1990_v46_i2,Horizontal interaction and their symmetries in GUTs,10.1007/bf01556014,https://link.springer.com/content/pdf/10.1007%2FBF01556014.pdf,ValueError('extracted text too short (801 chars)')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2004_v33_i3,Superspace gauge fixing of topological Yang-Mills theories,10.1140/epjc/s2003-01564-x,https://link.springer.com/content/pdf/10.1140/epjc/s2003-01564-x.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2009_v62_i4,Infrared behavior of three-point functions in Landau gauge Yang–Mills theory,10.1140/epjc/s10052-009-1066-3,https://link.springer.com/content/pdf/10.1140/epjc/s10052-009-1066-3.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2008_v58_i1,Glueballs and the superfluid phase of Two-Color QCD,10.1140/epjc/s10052-008-0718-z,https://link.springer.com/content/pdf/10.1140/epjc/s10052-008-0718-z.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2008_v56_i4,Parton content of the real photon: astrophysical implications,10.1140/epjc/s10052-008-0684-5,https://link.springer.com/content/pdf/10.1140/epjc/s10052-008-0684-5.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2008_v56_i4,A mapping-independent analysis for the spectra of the non-commutative two-dimensional harmonic oscillator,10.1140/epjc/s10052-008-0682-7,https://link.springer.com/content/pdf/10.1140/epjc/s10052-008-0682-7.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2009_v64_i3,Majoranized Feynman rules,10.1140/epjc/s10052-009-1158-0,https://link.springer.com/content/pdf/10.1140/epjc/s10052-009-1158-0.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2005_v41_i2,Toroidal solitons in Nicole-type models,10.1140/epjc/s2005-02183-3,https://link.springer.com/content/pdf/10.1140/epjc/s2005-02183-3.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2009_v59_i2,Prospects for discovering supersymmetry at the LHC,10.1140/epjc/s10052-008-0790-4,https://link.springer.com/content/pdf/10.1140/epjc/s10052-008-0790-4.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2005_v45_i2,Hyperon scalar form factors,10.1140/epjc/s2005-02429-0,https://link.springer.com/content/pdf/10.1140/epjc/s2005-02429-0.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2010_v66_i1_2,Higgs production via gluon fusion in a six-dimensional universal extra dimension model on S 2/Z 2,10.1140/epjc/s10052-010-1236-3,https://link.springer.com/content/pdf/10.1140/epjc/s10052-010-1236-3.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2005_v41_i4,Search for the $\phi1860$ Pentaquark at COMPASS,10.1140/epjc/s2005-02281-2,https://link.springer.com/content/pdf/10.1140/epjc/s2005-02281-2.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2007_v53_i2,Chromomagnetic dipole moment of the top quark revisited,10.1140/epjc/s10052-007-0457-6,https://link.springer.com/content/pdf/10.1140/epjc/s10052-007-0457-6.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2007_v53_i3,"Baryonium, tetraquark state and glueball in large-Nc QCD",10.1140/epjc/s10052-007-0471-8,https://link.springer.com/content/pdf/10.1140/epjc/s10052-007-0471-8.pdf,ValueError('download did not return PDF bytes')
